index,单价,小区名字,建筑面积,总价,户型,朝向,楼层,装修
0,14975元/平米,棠湖泊林城别墅,201平米,301万,4室2厅3卫,南,低层,毛坯
1,14013元/平米,棠湖泊林城别墅,314平米,440万,5室3厅4卫,南,低层,毛坯
3,13259元/平米,三和南庭,126.71平米,168万,3室2厅1卫,南,高层,简装修
4,15647元/平米,南阳盛世,79.89平米,125万,2室1厅1卫,南,高层,简装修
5,12998元/平米,丽都新城三期,90.78平米,118万,2室2厅1卫,南,中层,简装修
6,10807元/平米,金南园,143.43平米,155万,3室2厅2卫,西南,高层,简装修
7,16667元/平米,远大中央公园,84平米,140万,2室2厅1卫,东南,中层,精装修
8,17097元/平米,保利叶语,124平米,212万,4室2厅2卫,南,中层,毛坯
9,17454元/平米,麓山国际长岛,464.07平米,810万,4室2厅3卫,东,低层,毛坯
10,38922元/平米,麓山国际圣安德鲁,334平米,1300万,5室2厅4卫,西,低层,精装修
11,30050元/平米,成都雅居乐花园别墅,199平米,598万,4室2厅5卫,南,低层,毛坯
12,30449元/平米,麓湖生态城白玉台,312平米,950万,4室2厅4卫,南,低层,毛坯
13,32653元/平米,麓湖生态城蓝花屿,980平米,3200万,6室3厅6卫,南,低层,毛坯
14,29802元/平米,麓山国际圆石滩,369.1平米,1100万,5室3厅4卫,南,低层,豪华装修
15,17252元/平米,兰桥尚舍,168.1平米,290万,4室2厅2卫,南,低层,精装修
16,11429元/平米,蜀郡一期,350平米,400万,3室2厅3卫,南北,低层,毛坯
17,13612元/平米,美城悦荣府别墅,380.56平米,518万,4室3厅3卫,南,低层,毛坯
18,18427元/平米,欧香小镇别墅,445平米,820万,5室3厅4卫,南,低层,毛坯
19,18750元/平米,麓山国际半月湾,88平米,165万,2室2厅1卫,东西,高层,精装修
20,16541元/平米,南湖国际社区,133平米,220万,3室2厅2卫,北,中层,毛坯
21,17427元/平米,佳兆业君汇上品,120.5平米,210万,3室2厅2卫,南,低层,简装修
